Ledger_ID,Group_ID,Group_Name,Billing_Period,Line_of_Business,Calculated_Premium,Premium_Paid,Deposit_Date,Balance_Due,Reconciliation_Status
200001,101,Maple Valley School District,2025-10,Dental,3060.0,3060.0,2025-10-15,0.0,Fully Paid
200002,101,Maple Valley School District,2025-10,Vision,1020.0,1020.0,2025-10-15,0.0,Fully Paid
200003,101,Maple Valley School District,2025-10,Prescription,10200.0,10200.0,2025-10-15,0.0,Fully Paid
200004,102,Pine Creek Township,2025-10,Dental,2190.0,2190.0,2025-10-15,0.0,Fully Paid
200005,102,Pine Creek Township,2025-10,Vision,730.0,730.0,2025-10-15,0.0,Fully Paid
200006,103,Oakridge Transit Authority,2025-10,Dental,3075.0,3075.0,2025-10-15,0.0,Fully Paid
200007,103,Oakridge Transit Authority,2025-10,Vision,1025.0,1025.0,2025-10-15,0.0,Fully Paid
200008,103,Oakridge Transit Authority,2025-10,Prescription,10250.0,10250.0,2025-10-15,0.0,Fully Paid
200009,104,River Valley School District,2025-10,Vision,925.0,925.0,2025-10-15,0.0,Fully Paid
200010,105,Blue Ridge Transit Consortium,2025-10,Dental,5309.81,5309.81,2025-10-15,0.0,Fully Paid
200011,105,Blue Ridge Transit Consortium,2025-10,Vision,5167.69,5167.69,2025-10-15,0.0,Fully Paid
200012,106,Summit Municipal Water,2025-10,Dental,1800.0,1800.0,2025-10-15,0.0,Fully Paid
200013,107,Valley View Public Library,2025-10,Dental,975.0,975.0,2025-10-15,0.0,Fully Paid
200014,107,Valley View Public Library,2025-10,Vision,325.0,325.0,2025-10-15,0.0,Fully Paid
200015,101,Maple Valley School District,2025-11,Dental,3060.0,3060.0,2025-11-15,0.0,Fully Paid
200016,101,Maple Valley School District,2025-11,Vision,1020.0,1020.0,2025-11-15,0.0,Fully Paid
200017,101,Maple Valley School District,2025-11,Prescription,10200.0,10200.0,2025-11-15,0.0,Fully Paid
200018,102,Pine Creek Township,2025-11,Dental,2190.0,2190.0,2025-11-15,0.0,Fully Paid
